Full Name,Primary Company,Founding Time,Previous startups?,Consulting before start-up,Standardized University,Standardized Major,Degree Type,Graduate Degree Time,Standardized Graduate Institution,Standardized Graduate Studies,Graduate Diploma,Ever served as TA/Teacher/Professor/Mentor?,Years of Employment,Worked as product manager/director/head/VP?,Worked at Google?,Worked at Microsoft?,Worked in Sales?,Stanford or Berkeley,Ivy League,Crunchbase,LinkedIn
Tony Xu,DoorDash,2013.0,0.0,1.0,University of California Berkeley,Operations Research,BS,2011.0,Stanford University,Business,MBA,1.0,2.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/tony-xu,http://www.linkedin.com/in/xutony
Andy Palmer,Tamr,2013.0,1.0,0.0,Bowdoin College,Computer Science,BA,1992.0,Massachusetts Institute of Technology,Business,MBA,1.0,2.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/andy-palmer-2,http://www.linkedin.com/in/andypalmer
Pete Cashmore,Mashable,2005.0,0.0,0.0,,,,,,,,0.0,6.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/pete-cashmore,http://www.linkedin.com/in/mashable
David Friedberg,The Climate Corporation,2006.0,0.0,0.0,University of California Berkeley,Physics,BA,,,,,1.0,2.0,1.0,1.0,0.0,0.0,1,0,https://www.crunchbase.com/person/david-friedberg,https://www.linkedin.com/in/davidfriedberg/
Marcelo Camberos,ipsy,2011.0,0.0,1.0,Duke University,Economics,BA,2005.0,Stanford University,Business,MBA,1.0,7.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/marcelo-camberos,http://www.linkedin.com/in/marcelocamberos
Philip Krim,Casper Sleep,2013.0,1.0,0.0,University of Texas Austin,Business,BA,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/philip-krim,http://www.linkedin.com/pub/philip-krim/5/34/383
Noah Kraft,Doppler Labs,2013.0,0.0,1.0,Brown University,International Relations,BA,2007.0,University of California Los Angeles,,,1.0,7.0,0.0,1.0,0.0,0.0,0,1,https://www.crunchbase.com/person/noah-kraft,https://www.linkedin.com/in/noahkraft
Amy Chang,Accompany,2013.0,0.0,1.0,Stanford University,Electrical Engineering,BE,,Stanford University,Electrical Engineering,MEng,1.0,12.0,1.0,1.0,0.0,0.0,1,0,https://www.crunchbase.com/person/amy-chang,http://www.linkedin.com/in/changamy
Steve Shillingford,Anonyome Labs,2014.0,0.0,0.0,Brigham Young University,Psychology,BS,2007.0,University of California Berkeley,Business,MBA,1.0,7.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/steve-shillingford,http://www.linkedin.com/pub/steve-shillingford/0/592/650
David Rogier,MasterClass,2014.0,0.0,0.0,Washington University in St. Louis,Economics,BA,2009.0,Stanford University,Business,MBA,0.0,12.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/david-rogier,http://www.linkedin.com/in/drogier
Ryan Smith,Qualtrics,2002.0,0.0,0.0,Brigham Young University,Business,BA,,,,,1.0,3.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/ryan-smith-6,http://www.linkedin.com/pub/ryan-smith/1/790/341
Nick Huzar,OfferUp,2011.0,0.0,0.0,Washington State University,Operations Research,BA,,,,,0.0,6.0,1.0,0.0,1.0,0.0,0,0,https://www.crunchbase.com/person/nick-huzar,http://www.linkedin.com/in/nickhuzar
Emily Weiss,Glossier,2014.0,1.0,0.0,New York University,,,,,,,1.0,4.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/emily-weiss,https://www.linkedin.com/in/emily-weiss-49014571
Nirav Tolia,Nextdoor,,0.0,0.0,,,,,,,,1.0,9.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/nirav-tolia,https://www.linkedin.com/in/niravtolia/
Balaji S. Srinivasan,21 Inc,,0.0,0.0,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/balaji-s-srinivasan,http://www.linkedin.com/in/balajissrinivasan
Danielle Morrill,Mattermark,2013.0,1.0,1.0,,,,,,,,0.0,5.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/danielle-morrill,http://www.linkedin.com/in/daniellemorrill
Seth Sternberg,Honor,2014.0,1.0,0.0,Yale University,Political Science,BA,2004.0,Stanford University,Business,MBA,0.0,4.0,1.0,1.0,0.0,0.0,0,1,https://www.crunchbase.com/person/seth-sternberg,https://www.linkedin.com/in/sethjs/
Jen Rubio,Away,2015.0,0.0,1.0,,,,,,,,0.0,11.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/jen-rubio,https://www.linkedin.com/in/jenrubio/
Curtis Lee,Luxe,2013.0,1.0,1.0,University of California Berkeley,,,,University of Pennsylvania,Business,MBA,1.0,13.0,1.0,1.0,0.0,0.0,1,0,https://www.crunchbase.com/person/curtis-lee,http://www.linkedin.com/profile/view?id=4192304
Greg Duffy,Dropcam,2008.0,1.0,0.0,,,,,,,,0.0,12.0,1.0,1.0,1.0,0.0,0,0,https://www.crunchbase.com/person/greg-duffy,https://www.linkedin.com/in/gregduffy/
Stefan Heck,"Nauto, Inc.",1988.0,0.0,1.0,Stanford University,Cognitive Science,BS,,University of California San Diego,Cognitive Science,PhD,0.0,4.0,1.0,0.0,0.0,1.0,1,0,https://www.crunchbase.com/person/stefan-heck,https://www.linkedin.com/in/stefan-heck-4268
Karl Mehta,EdCast,2013.0,1.0,0.0,University of Bombay,Electrical Engineering,BA,,,,,0.0,6.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/karl-mehta,http://www.linkedin.com/pub/karl-mehta/0/2b9/6a6
Joshua Reeves,Gusto,2011.0,2.0,1.0,Stanford University,Electrical Engineering,BA,,Stanford University,Electrical Engineering,MS,1.0,9.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/joshua-reeves,http://www.linkedin.com/in/joshuareeves
Bret Taylor,Quip,2012.0,0.0,0.0,Stanford University,Computer Science,BS,2002.0,Stanford University,Computer Science,MS,1.0,1.0,1.0,1.0,0.0,0.0,1,0,https://www.crunchbase.com/person/bret-taylor,http://www.linkedin.com/in/brettaylor
Melody McCloskey,StyleSeat,2011.0,0.0,0.0,University of California Davis,International Relations,BA,,,,,1.0,6.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/melody-mccloskey,http://www.linkedin.com/in/melodymccloskey
Tyler Droll,Yik Yak,2013.0,0.0,0.0,,,,,,,,1.0,7.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/tyler-droll,http://www.linkedin.com/pub/tyler-droll/96/4a7/a4a
Baiju Prafulkumar Bhatt,Robinhood,2012.0,0.0,0.0,Stanford University,Physics,BA,,Stanford University,Mathematics,MS,1.0,8.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/baiju-prafulkumar-bhatt,https://www.linkedin.com/in/bprafulkumar
Dennis Mortensen,x.ai,2014.0,3.0,0.0,Skive Business College,Computer Science,BA,2006.0,British Columbia Institute of Technology,Computer Science,Associate Instructor,0.0,10.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/dennis-r-mortensen,http://www.linkedin.com/in/dennismortensen
Max Ventilla,AltSchool,2013.0,2.0,0.0,Yale University,Physics,BS,2003.0,Yale University,Business,MBA,0.0,14.0,1.0,1.0,0.0,1.0,0,1,https://www.crunchbase.com/person/max-ventilla,https://www.linkedin.com/in/ventilla/
Zain Jaffer,Vungle,2011.0,6.0,0.0,King's College London,Business,BS,,London Business School,Business,MBA,0.0,14.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/zain-jaffer,http://www.linkedin.com/in/zainjaffer
Ben Marcus,AirMap,2015.0,1.0,0.0,Purdue University,Engineering,BS,2000.0,,,,1.0,1.0,0.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/ben-marcus,https://www.linkedin.com/in/benjamindmarcus
Mike Farley,Tile,2012.0,0.0,0.0,State University of New York College at Plattsburgh,Computer Science,BS,2001.0,The University of Queensland,,,0.0,8.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/mike-farley-3,https://www.linkedin.com/in/farleymichael
David Niu,TINYhr,2014.0,3.0,1.0,University of California Berkeley,Political Science,BA,1999.0,University of Pennsylvania ,Business,MBA,0.0,1.0,0.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/david-niu,http://www.linkedin.com/in/davidniu
Jeremy Johnson,Andela,2014.0,2.0,0.0,Princeton University,,,,,,,0.0,5.0,0.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/jeremy-johnson,https://www.linkedin.com/in/jeremiahjohnson
David Cancel,Drift,2014.0,6.0,0.0,,,,,,,,1.0,10.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/david-cancel,http://www.linkedin.com/in/dcancel
Mikita Mikado,Quote Roller,2010.0,0.0,0.0,Belarussian State University of Informatics and Radioelectronics,Computer Science,BA,2007.0,University of Hawaii at Manoa,Computer Science,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/mikita-mikado,http://www.linkedin.com/in/mikitamikado
Kamakshi Sivaramakrishnan,Drawbridge Inc.,2010.0,0.0,0.0,Boston University,Electrical Engineering,MS,2001.0,Stanford University,Opreations Research,PhD,1.0,1.0,1.0,1.0,0.0,0.0,0,0,https://www.crunchbase.com/person/kamakshi-sivaramakrishnan,https://www.linkedin.com/in/kamakshisivaramakrishnan
Anthony Casalena,Squarespace,2003.0,0.0,0.0,University of Maryland College Park,Computer Science,BS,,,,,1.0,9.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/anthony-casalena,http://www.linkedin.com/in/acasalena
Davis Smith,Cotopaxi,2013.0,3.0,0.0,Brigham Young University,International Relations,BA,2009.0,University of Pennsylvania,Business,MBA,0.0,13.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/davis-smith,https://www.linkedin.com/in/davismsmith
Suhail Doshi,Mixpanel,2009.0,0.0,0.0,Arizona State University,Computer Science,BA,,,,,0.0,9.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/suhail-doshi,http://www.linkedin.com/in/suhaildoshi
Tariq Hilaly,"Lumity, Inc.",2013.0,1.0,1.0,University of Missouri Saint Louis,Business,BA,,Harvard University,Business,MBA,0.0,8.0,0.0,0.0,1.0,0.0,0,0,https://www.crunchbase.com/person/tariq-hilaly,https://www.linkedin.com/in/tariqhilaly
Michael Wystrach,Freshly,2012.0,0.0,0.0,University of Arizona,Business,BS,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/michael-wystrach,https://www.linkedin.com/in/michaelwystrach/
Hovhannes Avoyan,PicsArt,2011.0,3.0,0.0,State Engineering University of Armenia,Computer Science,BS,2005.0,American University of Armenia,,MA,0.0,4.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/hovhannes-avoyan,http://www.linkedin.com/in/sourcio
Michael Katz,mParticle,2013.0,0.0,1.0,Syracuse University,Economics,BS,,,,,0.0,9.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/michael-katz,http://www.linkedin.com/in/michaelskatz
Aakrit Vaish,Haptik,2013.0,1.0,1.0,University of Illinois Urbana-Champaign,Operations Research,BS,,,,,0.0,3.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/aakrit-vaish,http://in.linkedin.com/in/aakrit
Dan Teran,Managed by Q,2013.0,1.0,0.0,Johns Hopkins University,International Relations,BA,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/dan-teran,https://www.linkedin.com/in/danteran
Jay Chaudhry,Zscaler,2007.0,4.0,0.0,Indian Institute Of Technology,Electrical Engineering,BE,,University of Cincinnati,Business,MBA,1.0,2.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/jay-chaudhry,https://www.linkedin.com/in/jaychaudhry
Alex Laats,Rekener Inc.,2015.0,3.0,0.0,Massachusetts Institute of Technology,Physics,BS,1989.0,Harvard University,,JD,1.0,8.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/alex-laats,http://www.linkedin.com/pub/alex-laats/0/174/948
David Vivero,Amino,2013.0,3.0,0.0,Harvard University,Economics,BA,2006.0,Harvard University,Business,MBA,0.0,13.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/david-vivero,http://www.linkedin.com/in/dvivero
Jim Barnett,Glint,2013.0,1.0,0.0,Stanford University,Political Science,BA,1982.0,Stanford University,Business,MBA,1.0,14.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/jim-barnett,http://www.linkedin.com/pub/jim-barnett/0/12/a53
Andrew Levy,Apteligent,2011.0,1.0,0.0,Johns Hopkins University,Computer Science,BS,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/andrew-levy,http://www.linkedin.com/company/crittercism
Marcin Kleczynski,Malwarebytes,2008.0,0.0,0.0,University of Illinois Urbana-Champaign,,,,,,,0.0,4.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/marcin-kleczynski,http://www.linkedin.com/in/marcinkleczynski
Ben Rubin,Houseparty,,0.0,0.0,,,,,,,,0.0,11.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/ben-rubin,http://www.linkedin.com/pub/ben-rubin/24/b/423
Michael Buckwald,Leap Motion,2010.0,1.0,0.0,George Washington University,,,,,,,0.0,9.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/michael-buckwald,http://www.linkedin.com/in/mbuckwald
Michael Wayne,Kin Community,2007.0,1.0,0.0,University of the South,English,BA,,,,,1.0,13.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/michael-wayne,https://www.linkedin.com/in/michael-wayne-4b16352
Craig Walker,Dialpad,2011.0,4.0,0.0,University of California Berkeley,Sociology,BA,1992.0,University of California Berkeley,Law,JD,1.0,12.0,0.0,1.0,0.0,0.0,1,0,https://www.crunchbase.com/person/craig-walker,http://www.linkedin.com/in/cwalker123
Meron Gribetz,Meta,2012.0,1.0,0.0,Columbia,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/meron-gribetz,http://www.linkedin.com/pub/meron-gribetz/3/667/25b
Justin Yoshimura,500Friends,2010.0,0.0,0.0,,,,,,,,1.0,6.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/justin-yoshimura,http://www.linkedin.com/profile/view?id=7014598
Seth Birnbaum,EverQuote,2010.0,2.0,0.0,Massachusetts Institute of Technology,Mechanical Engineering,BS,,,,,0.0,13.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/seth-birnbaum-2,https://www.linkedin.com/pub/seth-birnbaum/0/2b5/273
Tim Junio,"Qadium, Inc.",2013.0,0.0,1.0,Johns Hopkins University,,BA,2013.0,Stanford University,,PhD,1.0,9.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/tim-junio,https://www.linkedin.com/in/tim-junio-59b01367/
Loic Le Meur,Leade.rs,2007.0,6.0,0.0,HEC,,,,,,,0.0,5.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/loic-le-meur,http://www.linkedin.com/in/loiclemeur
Michael Laskoff,Annum Health,2015.0,2.0,1.0,University of Chicago,Political Science,BA,1992.0,Harvard University,Business,MBA,0.0,2.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/michael-lackoff,http://www.linkedin.com/pub/michael-b-laskoff/1/bb/741
Andrew Filev,Wrike,2006.0,1.0,0.0,,,,,Saint Petersburg State University,Computer Science,MS,0.0,3.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/andrew-filev,http://www.linkedin.com/in/filev
Ori Eisen,Trusona,2015.0,1.0,0.0,Bergen Community College,Business,AA,1994.0,Montclair State University,Business,BA,0.0,12.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/ori-eisen,https://www.linkedin.com/in/orieisen
Hicham Oudghiri,Enigma,,0.0,0.0,,,,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/hicham-oudghiri,
Scott Walchek,Tr�?v,2012.0,3.0,0.0,University of California San Diego,,Drop,,,,,0.0,8.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/scott-walchek,http://www.linkedin.com/pub/scott-walchek/54/2b8/182
Hyungseok Dino Ha,Memebox Corporation,2012.0,0.0,0.0,Kyung Hee University,Engineering,BS,2008.0,Parson School of Design,Business,AAS,1.0,9.0,1.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/hyungseok-dino-ha,http://www.linkedin.com/pub/hyungseok-dino-ha/21/792/325
Dan Shapiro,Glowforge,2014.0,2.0,0.0,Harvey Mudd College,Engineering,BS,,,,,0.0,11.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/dan-shapiro,http://www.linkedin.com/in/danshapiro
Ron Palmeri,Layer,2013.0,2.0,0.0,Institut d'Etudes Politiques de Paris,,,,,,,1.0,6.0,1.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/ron-palmeri,http://www.linkedin.com/in/ronpalmeri
Nick Weaver,eero,2014.0,1.0,1.0,Stanford University,Operations Research,BS,,,,,1.0,3.0,1.0,0.0,0.0,1.0,1,0,https://www.crunchbase.com/person/nick-weaver,https://www.linkedin.com/in/nsweaver
Stephen Russell,Prism Skylabs,2011.0,2.0,0.0,Stanford University,Economics,BA,,,,,0.0,14.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/stephen-russell,https://www.linkedin.com/in/thesteverussell
Alex Blumberg,Gimlet Media,2014.0,0.0,0.0,Oberlin College,Political Science,BA,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/alex-blumberg,https://www.linkedin.com/in/alexblumberg
Henry Ward,eShares,2012.0,1.0,0.0,University of Michigan,Computer Science,BA,2009.0,EDHEC Business School,Business,MS,0.0,6.0,0.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/henry-ward,https://www.linkedin.com/in/heward
Sue Khim,Brilliant.org,2012.0,1.0,0.0,University of Chicago,Mathematics,BA,,,,,1.0,6.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/sue-khim,http://www.linkedin.com/pub/suyeon-khim/14/860/70b
Munjal Shah,Health Equity Labs,,0.0,0.0,,,,,,,,0.0,1.0,1.0,1.0,0.0,0.0,0,0,https://www.crunchbase.com/person/munjal-shah,http://www.linkedin.com/in/munjalshah747
Ali Diab,Collective Health,2013.0,2.0,0.0,University of Oxford,,,,Stanford University,,,0.0,5.0,1.0,0.0,1.0,0.0,0,0,https://www.crunchbase.com/person/ali-diab,https://www.linkedin.com/in/alidiab
Jess Lee,Polyvore,2008.0,0.0,0.0,Stanford University,Computer Science,BS,,,,,0.0,11.0,1.0,1.0,0.0,0.0,1,0,https://www.crunchbase.com/person/jess-lee,https://www.linkedin.com/in/jesskah
Ross Bailey,Appear Here,2013.0,0.0,1.0,Bury Lawn School,,,2010.0,School Of Communication Art,Business,PhD,1.0,13.0,1.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/ross-bailey,http://www.linkedin.com/in/rossabailey
